날짜,종가,오픈,고가,저가,거래량,변동 %
2020년 12월 18일,371.55,372.02,373.37,370.5,307.53M,-0.12%
2020년 12월 17일,372,372.12,372.6,368.07,244.58M,-0.14%
2020년 12월 16일,372.53,371.86,374.53,371.03,188.95M,0.44%
2020년 12월 15일,370.88,371.75,372.64,367.7,243.33M,-0.18%
2020년 12월 14일,371.56,372.14,374.72,370.5,284.47M,-0.18%
2020년 12월 11일,372.24,370.45,374.3,370.39,331.02M,0.78%
2020년 12월 10일,369.37,370.74,372.68,365.76,344.58M,-0.57%
2020년 12월 09일,371.47,363.77,371.64,363.77,191.95M,2.21%
2020년 12월 08일,363.45,369.73,370.11,363.41,192.37M,-1.73%
2020년 12월 07일,369.86,368.59,371.51,365.32,221.80M,0.61%
2020년 12월 04일,367.63,363.28,369.67,363.23,281.11M,1.65%
2020년 12월 03일,361.66,360.36,361.66,358.45,206.86M,0.84%
2020년 12월 02일,358.66,354.33,359.15,354,220.90M,1.78%
2020년 12월 01일,352.4,349.37,353.26,349.07,260.00M,1.83%
2020년 11월 30일,346.05,354.7,354.78,346.05,339.06M,-1.89%
2020년 11월 27일,352.73,351.83,353.19,350.63,178.42M,0.17%
2020년 11월 26일,352.12,348.66,352.12,346.77,182.18M,1.10%
2020년 11월 25일,348.3,353.05,353.96,346.17,333.14M,-0.57%
2020년 11월 24일,350.28,350.3,352.55,348.61,295.44M,0.52%
2020년 11월 23일,348.46,341.51,348.94,340.6,380.84M,2.30%
2020년 11월 20일,340.62,339.48,341.71,338.59,179.11M,0.14%
2020년 11월 19일,340.16,338.56,340.42,337.51,215.10M,0.06%
2020년 11월 18일,339.96,341.07,341.81,338.64,231.64M,0.03%
2020년 11월 17일,339.85,340.84,342.57,339.06,403.20M,-0.23%
2020년 11월 16일,340.63,335.2,341.15,335.2,465.75M,2.28%
2020년 11월 13일,333.03,329.09,333.15,328.25,291.36M,1.00%
2020년 11월 12일,329.72,330.57,331.58,328.46,342.30M,-0.42%
2020년 11월 11일,331.12,327.04,331.46,327.01,323.23M,1.53%
2020년 11월 10일,326.13,326.33,327,323.79,331.19M,0.09%
2020년 11월 09일,325.83,325.25,328.02,324.51,276.82M,1.16%
2020년 11월 06일,322.1,322.72,324.28,320.61,143.96M,0.18%
2020년 11월 05일,321.51,315.74,321.51,315.27,186.09M,2.45%
2020년 11월 04일,313.83,314.31,315.62,311.37,209.92K,0.56%
2020년 11월 03일,312.07,308.14,312.35,308.01,129.00M,2.00%
2020년 11월 02일,305.95,302.67,306.43,301.37,111.03M,1.44%
2020년 10월 30일,301.6,308.91,309.08,301.58,178.91M,-2.69%
2020년 10월 29일,309.94,308.99,310.56,306.63,139.04M,-1.03%
2020년 10월 28일,313.17,310.66,313.3,309.44,120.21M,0.44%
2020년 10월 27일,311.8,311.5,313.93,310.55,162.32M,-0.55%
2020년 10월 26일,313.53,315.63,316.78,313.33,170.88M,-0.40%
2020년 10월 23일,314.79,314.98,315.83,312.31,198.02M,0.33%
2020년 10월 22일,313.77,313.62,314.29,311.55,140.73M,-0.63%
2020년 10월 21일,315.76,315.34,316.61,314.16,136.81M,0.33%
2020년 10월 20일,314.71,311.02,314.91,309.95,135.68M,0.68%
2020년 10월 19일,312.59,313.43,314.94,312.19,138.22M,0.24%
2020년 10월 16일,311.83,314.41,315.47,309.67,126.44M,-0.67%
2020년 10월 15일,313.92,315.76,315.89,312.4,124.41M,-0.84%
2020년 10월 14일,316.57,319.6,319.88,315.71,129.34M,-0.94%
2020년 10월 13일,319.58,321.04,321.45,316.98,126.74M,0.13%
2020년 10월 12일,319.15,318.99,320.01,317.67,140.94M,0.53%
2020년 10월 08일,317.47,320.31,320.38,316.6,168.69M,0.04%
2020년 10월 07일,317.35,312.34,317.44,311.82,124.43M,0.92%
2020년 10월 06일,314.45,315.13,316.48,313.03,139.89M,0.30%
2020년 10월 05일,313.51,309.65,314.66,309.09,157.99M,1.32%
2020년 09월 29일,309.44,310.01,311.34,308.52,138.82M,0.78%
2020년 09월 28일,307.03,306.49,308.34,304.64,173.18M,1.14%
2020년 09월 25일,303.57,305.38,305.55,301.93,156.86M,0.36%
2020년 09월 24일,302.48,304.85,306.98,301.95,181.25M,-2.31%
2020년 09월 23일,309.64,311.5,311.76,303.29,208.05M,0.27%
2020년 09월 22일,308.82,315.53,316.02,307.4,304.36M,-2.24%
2020년 09월 21일,315.89,318.13,320.86,314.78,165.86M,-0.79%
2020년 09월 18일,318.39,319.2,319.81,316.62,153.54M,0.12%
2020년 09월 17일,318,321.3,322.23,316.92,178.30M,-1.34%
2020년 09월 16일,322.31,323.14,324.19,321.52,146.88M,-0.32%
2020년 09월 15일,323.36,321.82,323.57,320.54,152.45M,0.74%
2020년 09월 14일,320.98,319.83,321.22,318.54,176.78M,1.43%
2020년 09월 11일,316.45,315.64,316.77,313.2,165.16M,-0.03%
2020년 09월 10일,316.53,317.92,318.38,315.46,234.27M,0.88%
2020년 09월 09일,313.77,313.54,315.9,312.9,198.50M,-1.14%
2020년 09월 08일,317.38,316.31,317.43,314.56,227.27M,1.18%
2020년 09월 07일,313.67,312.08,314.44,310.93,264.67M,0.53%
2020년 09월 04일,312.03,308.25,312.64,308.04,408.03M,-1.39%
2020년 09월 03일,316.43,314.73,317.46,314.45,342.18M,1.58%
2020년 09월 02일,311.5,311.69,312.92,308.52,337.04M,0.55%
2020년 09월 01일,309.81,309.08,311.15,307.63,342.81M,0.87%
2020년 08월 31일,307.14,315.46,316.11,307.12,312.18M,-1.63%
2020년 08월 28일,312.24,313.86,315.95,311.06,256.41M,0.28%
2020년 08월 27일,311.38,314.46,315.17,311.37,175.57M,-0.89%
2020년 08월 26일,314.19,313.61,315.08,309.74,193.54M,0.19%
2020년 08월 25일,313.59,312.45,314.14,310.57,197.82M,1.38%
2020년 08월 24일,309.33,306.86,310.27,303.39,142.21M,1.04%
2020년 08월 21일,306.16,306.17,309.88,303.15,166.30M,1.52%
2020년 08월 20일,301.59,310.45,312.77,301.15,249.74M,-3.81%
2020년 08월 19일,313.54,315.96,316.82,313.18,159.93M,0.22%
2020년 08월 18일,312.84,319.57,321.69,311.2,247.52M,-2.00%
2020년 08월 14일,319.24,321.59,322.66,316.28,260.40M,-1.26%
2020년 08월 13일,323.33,325.84,326.22,319.66,285.74M,0.20%
